"","Rank","BriefTitle","Condition","StartDate","NCTId","OrgFullName","OverallStatus","BriefSummary","DetailedDescription","Keyword","StudyType","EligibilityCriteria","HealthyVolunteers","MinimumAge","Gender","location","LocationCity","LocationZip","LocationState","ResponsiblePartyInvestigatorFullName","LocationCountry","lon","lat"
"1",5,"Adapting Acceptance and Commitment Therapy for Stroke Survivors With Aphasia","Stroke Aphasia","October 1, 2021","NCT04984239","University of Pittsburgh","Recruiting","The proposed study is a Stage I successive cohort trial intended to adapt Acceptance and Commitment Therapy (ACT) to meet the specific needs of stroke survivors with aphasia (""ACT for Aphasia""). It will do so by incorporating communication supports and compensatory speech-language treatment. The goal of developing this integrated treatment is to improve successful communication participation, psychosocial adjustment, and quality of life for stroke survivors with aphasia.

In the first phase of the project, the investigators will create a treatment manual with input from a stakeholder advisory board consisting of caregivers and stroke survivors with aphasia. The investigators will then recruit an initial cohort of five stroke survivors with aphasia to undergo the initial version of the treatment based and provide feedback. This will aid revision of the manual, which the investigators will then evaluate using a second cohort of 16 stroke survivors with aphasia. The investigators predict that ACT for Aphasia will be acceptable and feasible based on measures of participant satisfaction and treatment adherence. The investigators will also measure pre- to post-treatment changes in psychological distress, functional disability, quality of life, and communication participation and functioning to establish preliminary effect size estimates for this intervention, in preparation for a subsequent Stage II efficacy trial.","The overarching goals of this research are to improve psychosocial adjustment, quality of life, and successful communication participation by developing Act for Aphasia, a patient-centered, manualized behavioral intervention in Stage I research. Stroke survivors with aphasia in their first year post stroke will complete a 10-session intervention. In study Aim 1, the investigators will engage a Stakeholder Advisory Board (SAB) of people with aphasia (PWA) and caregivers to provide input to develop a treatment manual. The investigators will then use an iterative design process and two successive participant cohorts to refine the manual. Cohort 1 (N=5) will participate in the initial version of the treatment, then help inform its revision by being invited to join the SAB. Cohort 2 (N=16) will participate in the revised version. In Aim 2a the investigators will establish feasibility and acceptability of this intervention. In Aim 2b the investigators will estimate preliminary effect sizes for a subsequent Stage II efficacy trial.

Participant assignment: given the early phase of this research and the lack of control conditions or groups, there will be no random assignment. Participants will be enrolled in the study as they are referred and found to be eligible, with the first five participants being enrolled in the first study cohort during year 1 while the remainder of participants will be enrolled in the second cohort across years 1 and 2.

Intervention description: the ACT for Aphasia treatment manual will be a 10-session intervention created by modifying an existing ACT manual provided by Dr. Meyer. To meet the specific needs of stroke survivors with aphasia, ACT will be modified in two main ways. First, the intervention will include modified language and communication supports to address the unique communication challenges faced by people with aphasia that could impede engagement with ACT content. Multi-modality communication supports will be provided by the treating clinician (e.g., writing out key words to support verbal content, summarizing and providing repetitions, providing session summaries to review between sessions). Manual creation will follow existing practice recommendations for modifying counseling interventions for PWA (e.g., simplifying language and increasing use of visual metaphors) which will be reviewed by the SAB. Second, ACT will be further augmented via individualized language compensation training and a focus on identifying and addressing communication-based barriers to life participation. Language training will focus on active compensatory strategies such as self-cuing, use of alternative modalities (gesture, writing), and use of commonly available technology (e.g., smartphone dictionaries, text-to-speech). The details of this language compensation training will also be determined based on input from the SAB, and will be revised after reviewing performance and interview feedback from each successive cohort.

Intervention administration procedures: all aspects of the treatment protocol will be administered by Dr. Evans or a licensed speech-language pathologist on study staff who has received training in providing ACT. The intervention will consist of 10 weekly treatment sessions. Post-treatment interviews providing feedback for protocol revision will be administered by Dr. Evans within 2 weeks of study completion. Interviews will use a semi-structured, ethnographic interview approach and be video-recorded. These interviews will ask specific questions about the participant's experience and perspective regarding each functional domain of the intervention (i.e., the ""Open Up,"" ""Be Present,"" and ""Do What Matters"" components of ACT and the individualized language compensation training), and will be asked for suggestions and improvements about the specific content and techniques employed.","Counseling Therapeutics","Interventional","Inclusion Criteria:

Participants will be age 18 or older.
Participants will have an existing diagnosis of aphasia subsequent to left hemisphere stroke.
Participants will be within the first year after stroke onset.

Exclusion Criteria:

Participants with a history of other acquired or progressive neurological disease.
Participants whose mean modality t-score falls below 40 on the spoken language comprehension subdomain of the Comprehensive Aphasia Test.
Participants with semantic memory impairments as determined by the cutoff of the semantic memory component of the Comprehensive Aphasia Test.
Participants with unmanaged drug /alcohol dependence.
Participants with severe diagnose.d mood or behavioral disorders that require specialized mental health interventions","No","18 Years","All","Pittsburgh Pennsylvania United States","Pittsburgh","15260","Pennsylvania","William Evans","United States",-79.9901,40.4417
"2",6,"Translation and Clinical Implementation of a Test of Language and Short-term Memory in Aphasia.","Aphasia","December 15, 2017","NCT03635554","Temple University","Recruiting","This project aims to develop a clinically feasible version of a laboratory-developed assessment battery for language and verbal short-term memory difficulties in aphasia.","Over five years, we will develop a clinically feasible test that can be used to assess in-depth the language and verbal short-term memory abilities of individuals with aphasia (Called the TALSA - Temple Assessment of Language and Short-term memory in Aphasia. Based on a test that we have developed and tested over the past decade, we will create a shorter version that can be used by clinicians in a rehabilitation setting. The data to support this development will come from two sources: (1) clinicians in rehabilitation facilities who will use the new clinical test and provide feedback on the test (administration, value etc) and (2) people with aphasia who will be administered the longer version to help us identify the best test items in the laboratory version of the TALSA to be carried over to the shorter clinical version.

We are recruiting individuals with aphasia as well as people without aphasia (to serve as controls) to help with development of this assessment battery. The battery consists of between 15 and 20 subtests that assess many aspects of language and verbal short-term memory.","Aphasia","Observational","Inclusion Criteria:

. single or multiple left hemisphere lesions
at least one year post-stroke.
high-school educated
negative histories for mental illness and alcohol/substance abuse.
passed an audiometric pure-tone, air conduction screening at 25 dB HL at 1K, 2K and 4K Hz for at least one ear.

Exclusion Criteria:

English as a second language Right hemisphere stroke Less than 6 months post-onset of stroke.",NA,"21 Years","All","Philadelphia Pennsylvania United States","Philadelphia","19122","Pennsylvania","Nadine Martin","United States",-75.1327,40.0115
"3",6,"Translation and Clinical Implementation of a Test of Language and Short-term Memory in Aphasia.","Aphasia","December 15, 2017","NCT03635554","Temple University","Recruiting","This project aims to develop a clinically feasible version of a laboratory-developed assessment battery for language and verbal short-term memory difficulties in aphasia.","Over five years, we will develop a clinically feasible test that can be used to assess in-depth the language and verbal short-term memory abilities of individuals with aphasia (Called the TALSA - Temple Assessment of Language and Short-term memory in Aphasia. Based on a test that we have developed and tested over the past decade, we will create a shorter version that can be used by clinicians in a rehabilitation setting. The data to support this development will come from two sources: (1) clinicians in rehabilitation facilities who will use the new clinical test and provide feedback on the test (administration, value etc) and (2) people with aphasia who will be administered the longer version to help us identify the best test items in the laboratory version of the TALSA to be carried over to the shorter clinical version.

We are recruiting individuals with aphasia as well as people without aphasia (to serve as controls) to help with development of this assessment battery. The battery consists of between 15 and 20 subtests that assess many aspects of language and verbal short-term memory.","Aphasia","Observational","Inclusion Criteria:

. single or multiple left hemisphere lesions
at least one year post-stroke.
high-school educated
negative histories for mental illness and alcohol/substance abuse.
passed an audiometric pure-tone, air conduction screening at 25 dB HL at 1K, 2K and 4K Hz for at least one ear.

Exclusion Criteria:

English as a second language Right hemisphere stroke Less than 6 months post-onset of stroke.",NA,"21 Years","All","Seattle Washington United States","Seattle","98105","Washington","Nadine Martin","United States",-122.3301,47.6038
"4",8,"Telerehabilitation for Aphasia (TERRA)","Aphasia Stroke Stroke Rehabilitation","April 1, 2016","NCT04682223","University of South Carolina","Recruiting","Speech-language therapy is generally found to be helpful in the rehabilitation of aphasia. However, not all patients with aphasia have access to adequate treatment to maximize their recovery. The goal of this project is to compare the efficacy of telerehabilitation or Aphasia Remote Therapy (ART) to the more traditional In-Clinic Therapy (I-CT).","Stroke is the leading cause of adult disability in the United States. One of the most debilitating impairments resulting from stroke is aphasia, a language disorder caused by damage to the left hemisphere of the brain. While evidence shows that aphasia therapy improves speech production and communicative quality of life in persons with chronic (>6 months) stroke-induced aphasia, the amount of therapy provided to patients in the United States is typically far less than what is probably necessary to maximize recovery. There are a few important reasons underlying this discrepancy. For example, considerable emphasis is placed on acute and subacute stroke recovery with less therapy focus on the chronic period, when recovery is usually slower. Also, access to rehabilitation services can be limited by the availability of providers (e.g., in rural regions) or by difficulties with transportation logistics related to disabilities and the physical sequelae of stroke. One way to increase access to aphasia therapy is to rely on telerehabilitation (a.k.a., aphasia remote therapy; ART). So far, telerehabilitation in stroke has primarily focused on physical therapy, with only a handful of smaller studies involving aphasia therapy. The purpose of this study is to compare aphasia therapy administered via ART to aphasia therapy administered in person (In-Clinic Therapy; I-CT). We will conduct the first phase II, non-inferiority trial of telerehabilitation for aphasia therapy that is exclusively administered by a speech-language pathologist. Participants with chronic aphasia will be randomized to either a telerehabilitation or aphasia remote therapy (ART) group or an in-clinic therapy (I-CT) group relying on the same therapy approach currently used in our ongoing POLAR study. The outcome measure will focus on speech production and combines correct naming on the Philadelphia Naming Test and correct words produced per minute (CWPM) during discourse. The primary endpoint is change in the outcome measure at 6 months compared to baseline. The non-inferiority margin will be set so that if ART leads to less than 50% improvement than the improvement following I-CT, it will be considered inferior for therapy delivery. Neuroimaging will be used to evaluate how aphasia is shaped by the stroke lesion in combination with residual brain integrity.","aphasia stroke telerehabilitation speech-language therapy","Interventional","Inclusion Criteria:

Participants must have sustained a left hemisphere ischemic or hemorrhagic stroke at least 12 months prior to enrollment.
Participants must primarily speak English for at least the past 20 years.
Participants must be capable of giving informed consent or indicating another to provide informed consent.
Participants must be between 21-80 years of age.
Participants must be magnetic resonance imaging (MRI) compatible (e.g., no metal implants, not claustrophobic) on a 3-Tesla (3T) scanner.

Exclusion Criteria:

Participants must not have previous neurological disease affecting the brain (e.g. history of traumatic brain injury).
Participants must not have severely limited speech production (severe unintelligibility) and/or auditory comprehension that interferes with adequate participation in the therapy provided (i.e., WAB-R Spontaneous Speech rating scale score of 0-1 or WAB-R Comprehension score of 0-1).
Participants must not have a history of stroke to the right hemisphere of the brain.
Participants must not have a bilateral, cerebellar or brainstem stroke.
Participants must not have anything that makes them be 3T MRI incompatible
Insufficient intelligible speech to provide accurate responses with discourse/naming.","No","21 Years","All","Charleston South Carolina United States","Charleston","29425","South Carolina","Julius Fridriksson","United States",-79.9403,32.7876
"5",8,"Telerehabilitation for Aphasia (TERRA)","Aphasia Stroke Stroke Rehabilitation","April 1, 2016","NCT04682223","University of South Carolina","Recruiting","Speech-language therapy is generally found to be helpful in the rehabilitation of aphasia. However, not all patients with aphasia have access to adequate treatment to maximize their recovery. The goal of this project is to compare the efficacy of telerehabilitation or Aphasia Remote Therapy (ART) to the more traditional In-Clinic Therapy (I-CT).","Stroke is the leading cause of adult disability in the United States. One of the most debilitating impairments resulting from stroke is aphasia, a language disorder caused by damage to the left hemisphere of the brain. While evidence shows that aphasia therapy improves speech production and communicative quality of life in persons with chronic (>6 months) stroke-induced aphasia, the amount of therapy provided to patients in the United States is typically far less than what is probably necessary to maximize recovery. There are a few important reasons underlying this discrepancy. For example, considerable emphasis is placed on acute and subacute stroke recovery with less therapy focus on the chronic period, when recovery is usually slower. Also, access to rehabilitation services can be limited by the availability of providers (e.g., in rural regions) or by difficulties with transportation logistics related to disabilities and the physical sequelae of stroke. One way to increase access to aphasia therapy is to rely on telerehabilitation (a.k.a., aphasia remote therapy; ART). So far, telerehabilitation in stroke has primarily focused on physical therapy, with only a handful of smaller studies involving aphasia therapy. The purpose of this study is to compare aphasia therapy administered via ART to aphasia therapy administered in person (In-Clinic Therapy; I-CT). We will conduct the first phase II, non-inferiority trial of telerehabilitation for aphasia therapy that is exclusively administered by a speech-language pathologist. Participants with chronic aphasia will be randomized to either a telerehabilitation or aphasia remote therapy (ART) group or an in-clinic therapy (I-CT) group relying on the same therapy approach currently used in our ongoing POLAR study. The outcome measure will focus on speech production and combines correct naming on the Philadelphia Naming Test and correct words produced per minute (CWPM) during discourse. The primary endpoint is change in the outcome measure at 6 months compared to baseline. The non-inferiority margin will be set so that if ART leads to less than 50% improvement than the improvement following I-CT, it will be considered inferior for therapy delivery. Neuroimaging will be used to evaluate how aphasia is shaped by the stroke lesion in combination with residual brain integrity.","aphasia stroke telerehabilitation speech-language therapy","Interventional","Inclusion Criteria:

Participants must have sustained a left hemisphere ischemic or hemorrhagic stroke at least 12 months prior to enrollment.
Participants must primarily speak English for at least the past 20 years.
Participants must be capable of giving informed consent or indicating another to provide informed consent.
Participants must be between 21-80 years of age.
Participants must be magnetic resonance imaging (MRI) compatible (e.g., no metal implants, not claustrophobic) on a 3-Tesla (3T) scanner.

Exclusion Criteria:

Participants must not have previous neurological disease affecting the brain (e.g. history of traumatic brain injury).
Participants must not have severely limited speech production (severe unintelligibility) and/or auditory comprehension that interferes with adequate participation in the therapy provided (i.e., WAB-R Spontaneous Speech rating scale score of 0-1 or WAB-R Comprehension score of 0-1).
Participants must not have a history of stroke to the right hemisphere of the brain.
Participants must not have a bilateral, cerebellar or brainstem stroke.
Participants must not have anything that makes them be 3T MRI incompatible
Insufficient intelligible speech to provide accurate responses with discourse/naming.","No","21 Years","All","Columbia South Carolina United States","Columbia","29208","South Carolina","Julius Fridriksson","United States",-81.0343,34.0007
"6",9,"Improving Electronic Written Communication in Aphasia","Aphasia","September 20, 2018","NCT03773419","Shirley Ryan AbilityLab","Recruiting","People with aphasia have difficulty with writing and often struggle to use electronic communication that connects people to one another. The goal of this project is to evaluate the extent to which a novel treatment (T-WRITE) improves written language function and the use of text messaging; we also evaluate whether there are subsequent positive effects on the participant's social connectedness and ultimately health-related quality of life (HRQOL).

T-WRITE involves choral reading and repeated writing of sentences via texting. Participants work intensively and independently at home on a laptop computer. A virtual therapist directs the participant to practice copying and independently writing phrases and short sentences using the typing feature on a cellular phone. The specific objective of this randomized clinical trial is to compare T-WRITE to ORLA+WTG, a similar treatment that targets written expression using handwriting.","An acquired impairment in writing, also known as agraphia, is a characteristic symptom of aphasia, i.e., a language disorder resulting from damage to the language centers of the brain. Written communication via text and instant messaging, electronic mail, and various types of social media has become an increasingly important part of everyday life in our technology driven society. Consequently, difficulty with written expression can significantly restrict people with aphasia from participation in community life, including social, professional, and educational realms. Improving writing in persons with aphasia could improve communication, increase access to information, reduce isolation and facilitate social connectedness. Furthermore, delivering writing treatment via an electronic modality, such as texting, could be particularly advantageous given the increasing reliance on electronic communication. This study investigates the efficacy of T-WRITE, a computer-based writing treatment for aphasia that targets phrase/sentence level writing using texting. Its aims are to: 1) evaluate the efficacy of computer-based texting treatment for improving written communication in persons with aphasia and 2) assess the extent to which improvements in electronic written communication impact social connectedness and health-related quality of life (HRQOL). This will be accomplished via a randomized controlled trial across two sites that compares computer-based texting treatment (T-WRITE) to a control group that receives a hand-writing treatment (ORLA+WTG).

The intervention is delivered via computer using state-of-the-art virtual therapist technology. A perceptive, life-like animated computer agent (virtual therapist), using visible speech, guides the participant so he or she can independently work through the set of choral reading and writing activities (see figure above showing a screen shot of the virtual therapist). The objective is to assure an optimal learning experience in the comfort of the participant's home by using a virtual therapist with accurate visible speech feedback. The virtual therapist reads aloud, speaks with accurate visible speech, highlights and repeats words and sentences, directs the participant to copy/write phrases or sentences, and provides guidance much like a real therapist. The sequence of steps in the ORLA+WTG and the T-WRITE treatments are identical. The output modality for participants randomized to T-WRITE is texting using a cellular phone whereas participants in the ORLA+WTG will hand-write their responses using pen and paper. Participants will practice their writing for 90 minutes a day, 6 days a week for 4 weeks.","Stroke-related aphasia Rehabilitation Writing Texting","Interventional","Inclusion Criteria:

diagnosis of an aphasia subsequent to a left-hemisphere infarct(s) that is confirmed by CT scan or MRI
Aphasia Quotient score on the Western Aphasia Battery-Revised of 40-85.
> 6 months post injury
premorbidly right handed, determined by Edinburgh Handedness Inventory
completed at least an eighth grade education
premorbid proficiency in English by self-report

Exclusion Criteria:

any other neurological condition (other than cerebral vascular disease) that could potentially affect cognition or speech, such as Parkinson's Disease, Alzheimer's Dementia, traumatic brain injury.
active substance abuse.","No","18 Years","All","Chicago Illinois United States","Chicago","60611","Illinois","Leora Cherney","United States",-87.6244,41.8756
"7",9,"Improving Electronic Written Communication in Aphasia","Aphasia","September 20, 2018","NCT03773419","Shirley Ryan AbilityLab","Recruiting","People with aphasia have difficulty with writing and often struggle to use electronic communication that connects people to one another. The goal of this project is to evaluate the extent to which a novel treatment (T-WRITE) improves written language function and the use of text messaging; we also evaluate whether there are subsequent positive effects on the participant's social connectedness and ultimately health-related quality of life (HRQOL).

T-WRITE involves choral reading and repeated writing of sentences via texting. Participants work intensively and independently at home on a laptop computer. A virtual therapist directs the participant to practice copying and independently writing phrases and short sentences using the typing feature on a cellular phone. The specific objective of this randomized clinical trial is to compare T-WRITE to ORLA+WTG, a similar treatment that targets written expression using handwriting.","An acquired impairment in writing, also known as agraphia, is a characteristic symptom of aphasia, i.e., a language disorder resulting from damage to the language centers of the brain. Written communication via text and instant messaging, electronic mail, and various types of social media has become an increasingly important part of everyday life in our technology driven society. Consequently, difficulty with written expression can significantly restrict people with aphasia from participation in community life, including social, professional, and educational realms. Improving writing in persons with aphasia could improve communication, increase access to information, reduce isolation and facilitate social connectedness. Furthermore, delivering writing treatment via an electronic modality, such as texting, could be particularly advantageous given the increasing reliance on electronic communication. This study investigates the efficacy of T-WRITE, a computer-based writing treatment for aphasia that targets phrase/sentence level writing using texting. Its aims are to: 1) evaluate the efficacy of computer-based texting treatment for improving written communication in persons with aphasia and 2) assess the extent to which improvements in electronic written communication impact social connectedness and health-related quality of life (HRQOL). This will be accomplished via a randomized controlled trial across two sites that compares computer-based texting treatment (T-WRITE) to a control group that receives a hand-writing treatment (ORLA+WTG).

The intervention is delivered via computer using state-of-the-art virtual therapist technology. A perceptive, life-like animated computer agent (virtual therapist), using visible speech, guides the participant so he or she can independently work through the set of choral reading and writing activities (see figure above showing a screen shot of the virtual therapist). The objective is to assure an optimal learning experience in the comfort of the participant's home by using a virtual therapist with accurate visible speech feedback. The virtual therapist reads aloud, speaks with accurate visible speech, highlights and repeats words and sentences, directs the participant to copy/write phrases or sentences, and provides guidance much like a real therapist. The sequence of steps in the ORLA+WTG and the T-WRITE treatments are identical. The output modality for participants randomized to T-WRITE is texting using a cellular phone whereas participants in the ORLA+WTG will hand-write their responses using pen and paper. Participants will practice their writing for 90 minutes a day, 6 days a week for 4 weeks.","Stroke-related aphasia Rehabilitation Writing Texting","Interventional","Inclusion Criteria:

diagnosis of an aphasia subsequent to a left-hemisphere infarct(s) that is confirmed by CT scan or MRI
Aphasia Quotient score on the Western Aphasia Battery-Revised of 40-85.
> 6 months post injury
premorbidly right handed, determined by Edinburgh Handedness Inventory
completed at least an eighth grade education
premorbid proficiency in English by self-report

Exclusion Criteria:

any other neurological condition (other than cerebral vascular disease) that could potentially affect cognition or speech, such as Parkinson's Disease, Alzheimer's Dementia, traumatic brain injury.
active substance abuse.","No","18 Years","All","Harrisonburg Virginia United States","Harrisonburg","22807","Virginia","Leora Cherney","United States",-78.8689,38.4493
"8",11,"Speech Entrainment for Aphasia Recovery","Aphasia Aphasia Non Fluent Stroke","August 21, 2020","NCT04364854","Medical University of South Carolina","Recruiting","After a stroke, many people experience a language impairment called aphasia. One of the most debilitating types of aphasia is non-fluent aphasia. Non-fluent aphasia is defined by significantly reduced speech production, with the speaker producing only a few words or even less. Speech entrainment therapy (SET) is a treatment that has been shown to increase fluency in people with non-fluent aphasia. The study looks to define the best dose of SET that leads to sustained improvements in spontaneous speech production.

Participants who are eligible will undergo baseline language testing, an MRI, and will be randomized into one of 4 treatment groups: SET for 3 weeks, SET for 4.5 weeks, SET for 6 weeks, and no treatment (control group).",NA,"Aphasia Speech Language Pathology Therapy","Interventional","Inclusion Criteria

Aphasia as a result of a left hemisphere ischemic or hemorrhagic stroke (WAB-R Aphasia quotient <93.8).
Patients must have spoken English as their primary language.
21-81 years old
pre-stroke modified Rankin Scale (mRS)= 2 or less,
post-stroke mRS= 4 or less.
At least 6 months post-stroke.
Non-fluent aphasia (WAB-R comprehension score >4 and WAB-R fluency score <6).

Exclusion Criteria

History of chronic neurological or psychiatric diseases (excluding migraines, depression, or post-stroke epilepsy). Self-reported history of learning disability.
Severe dysarthria.
History of right hemisphere strokes or brain stem/cerebellar strokes (As evidenced by MRI or CT).
Uncorrectable hearing or vision.
Contraindications to MRI or inability to complete the MRI scanning session.
Women who are pregnant.","No","21 Years","All","Charleston South Carolina United States","Charleston","29401","South Carolina","Leonardo Bonilha","United States",-79.9403,32.7876
"9",11,"Speech Entrainment for Aphasia Recovery","Aphasia Aphasia Non Fluent Stroke","August 21, 2020","NCT04364854","Medical University of South Carolina","Recruiting","After a stroke, many people experience a language impairment called aphasia. One of the most debilitating types of aphasia is non-fluent aphasia. Non-fluent aphasia is defined by significantly reduced speech production, with the speaker producing only a few words or even less. Speech entrainment therapy (SET) is a treatment that has been shown to increase fluency in people with non-fluent aphasia. The study looks to define the best dose of SET that leads to sustained improvements in spontaneous speech production.

Participants who are eligible will undergo baseline language testing, an MRI, and will be randomized into one of 4 treatment groups: SET for 3 weeks, SET for 4.5 weeks, SET for 6 weeks, and no treatment (control group).",NA,"Aphasia Speech Language Pathology Therapy","Interventional","Inclusion Criteria

Aphasia as a result of a left hemisphere ischemic or hemorrhagic stroke (WAB-R Aphasia quotient <93.8).
Patients must have spoken English as their primary language.
21-81 years old
pre-stroke modified Rankin Scale (mRS)= 2 or less,
post-stroke mRS= 4 or less.
At least 6 months post-stroke.
Non-fluent aphasia (WAB-R comprehension score >4 and WAB-R fluency score <6).

Exclusion Criteria

History of chronic neurological or psychiatric diseases (excluding migraines, depression, or post-stroke epilepsy). Self-reported history of learning disability.
Severe dysarthria.
History of right hemisphere strokes or brain stem/cerebellar strokes (As evidenced by MRI or CT).
Uncorrectable hearing or vision.
Contraindications to MRI or inability to complete the MRI scanning session.
Women who are pregnant.","No","21 Years","All","Columbia South Carolina United States","Columbia","29208","South Carolina","Leonardo Bonilha","United States",-81.0343,34.0007
"10",11,"Speech Entrainment for Aphasia Recovery","Aphasia Aphasia Non Fluent Stroke","August 21, 2020","NCT04364854","Medical University of South Carolina","Recruiting","After a stroke, many people experience a language impairment called aphasia. One of the most debilitating types of aphasia is non-fluent aphasia. Non-fluent aphasia is defined by significantly reduced speech production, with the speaker producing only a few words or even less. Speech entrainment therapy (SET) is a treatment that has been shown to increase fluency in people with non-fluent aphasia. The study looks to define the best dose of SET that leads to sustained improvements in spontaneous speech production.

Participants who are eligible will undergo baseline language testing, an MRI, and will be randomized into one of 4 treatment groups: SET for 3 weeks, SET for 4.5 weeks, SET for 6 weeks, and no treatment (control group).",NA,"Aphasia Speech Language Pathology Therapy","Interventional","Inclusion Criteria

Aphasia as a result of a left hemisphere ischemic or hemorrhagic stroke (WAB-R Aphasia quotient <93.8).
Patients must have spoken English as their primary language.
21-81 years old
pre-stroke modified Rankin Scale (mRS)= 2 or less,
post-stroke mRS= 4 or less.
At least 6 months post-stroke.
Non-fluent aphasia (WAB-R comprehension score >4 and WAB-R fluency score <6).

Exclusion Criteria

History of chronic neurological or psychiatric diseases (excluding migraines, depression, or post-stroke epilepsy). Self-reported history of learning disability.
Severe dysarthria.
History of right hemisphere strokes or brain stem/cerebellar strokes (As evidenced by MRI or CT).
Uncorrectable hearing or vision.
Contraindications to MRI or inability to complete the MRI scanning session.
Women who are pregnant.","No","21 Years","All","Salt Lake City Utah United States","Salt Lake City","84112","Utah","Leonardo Bonilha","United States",-111.8904,40.767
